"","B","CD4","CD8","Monocytes","NK","Other"
"PD-PDAE940EZ5_18",0.391757340742385,0.235791820590358,0.0830729426954498,0.278988837722454,0,0.0103890582493529
"PD-PDAE940EZ5_24",0.454080570381521,0.133286433505225,0.227768862325806,0.184864133787447,0,0
"PD-PDAF772WHX_0",0.366422214403369,0.233517256651054,0.149762454010113,0.226794778218969,0.0235032967164942,0
"PD-PDAF772WHX_6",0.2324911146638,0.282750413961417,0.167940337111979,0.31193030643497,0.00488782782783498,0
"PD-PDAF772WHX_12",0.329452812641264,0.162806647713885,0.282748409219558,0.208010752716476,0.0169813777088173,0
"PD-PDAF772WHX_18",0.595871793312225,0.145060017753325,0.112053709429762,0.147014479504689,0,0
"PD-PDAF772WHX_24",0.0830814717557355,0.288310406124607,0.0252013744799168,0.551147422759227,0.000571265484319293,0.0516880593961948
"PD-PDAG669PAY_0",0.232297331651277,0.246725986040334,0,0.300408343680427,0,0.220568338627963
"PD-PDAG669PAY_6",0.198849529409417,0.357851391160985,0.113677227533742,0.329621851895856,0,0
"PD-PDAG669PAY_12",0.44322825429644,0.140480034026429,0.0857641049683332,0.325808406952927,0.00471919975587107,0
"PD-PDAG669PAY_24",0.452448338175668,0.272346643073369,0.0274481912497795,0.243315324328577,0,0.00444150317260636
"PD-PDAG965NUZ_0",0.296194799311298,0.251437070779719,0,0.341775058858432,0,0.110593071050551
"PD-PDAG965NUZ_6",0.388028491290977,0.21810919099457,0.123315991172007,0.270546326542445,0,0
"PD-PDAG965NUZ_12",0.462089350268959,0.20155421693138,0.16006402516629,0.176292407633371,0,0
"PD-PDAG965NUZ_18",0.53313848934234,0.169244360655453,0.0715433657627568,0.22607378423945,0,0
"PD-PDAG965NUZ_24",0.598475728430319,0.262437974069765,0,0.139086297499916,0,0
"PD-PDAK348WWH_0",0.206506545610062,0.251706250051301,0.343972703083114,0.176756942874545,0.0210575583809779,0
"PD-PDAK348WWH_6",0.317946739243327,0.140261169730009,0.321751434241809,0.215083748853285,0.00495690793156897,0
"PD-PDAK348WWH_12",0.126622326157151,0.203325332276632,0,0.533116424896912,0,0.136935916669305
"PD-PDAK348WWH_18",0.396675488111978,0.162868722426303,0.132769229347349,0.304556380303219,0.00313017981115147,0
"PD-PDAK348WWH_24",0.494856459161184,0.0860318330329946,0.0733374045011587,0.345774303304663,0,0
"PD-PDAL120HLU_0",0.355619849077545,0.106518789130945,0.0677323988794028,0.470128962912107,0,0
"PD-PDAL120HLU_6",0.0583254233691493,0.306062272485015,0.031791830139504,0.529521326341808,0,0.0742991476645232
"PD-PDAL120HLU_12",0.360629001727697,0.183468764331047,0.105366906620539,0.346879559150484,0.00365576817023261,0
"PD-PDAL120HLU_18",0.199768032552134,0.376659005544078,0.107531039460652,0.316041922443136,0,0
"PD-PDAL120HLU_24",0.373464416699076,0.144618784884034,0.337172929616592,0.144743868800298,0,0
"PD-PDAL597YF7_0",0.362401656530901,0.145970733939007,0.0529241725433653,0.438703436986726,0,0
"PD-PDAL597YF7_6",0.263975952190126,0.303430071134197,0,0.328839418218267,0.00107260040470987,0.1026819580527
"PD-PDAL597YF7_24",0.379302506835789,0.240527981561189,0.269085866225292,0.11108364537773,0,0
"PD-PDAM691XNP_0",0.300342292379993,0.205246566231352,0.129396479039398,0.348645722022194,0,0.0163689403270632
"PD-PDAM691XNP_6",0.311062403975081,0.310494500502749,0.0696815251714495,0.288397184864877,0,0.0203643854858432
"PD-PDAM691XNP_12",0.355202989761614,0.244489433493844,0.16267310461799,0.237634472126553,0,0
"PD-PDAM691XNP_18",0.322959387507051,0.24996170110772,0.169392153671467,0.257686757713761,0,0
"PD-PDAM691XNP_24",0.396394579623212,0.196686765572103,0.147742348490585,0.2591763063141,0,0
"PD-PDAM789FJT_0",0.221762029957563,0.126477953071189,0.277319462443,0.368930262399072,0.00551029212917602,0
"PD-PDAM789FJT_6",0.36296778378856,0.158794302251185,0.269600918012077,0.208636995948178,0,0
"PD-PDAM789FJT_12",0.334603171967399,0.193145370140389,0.189750055410868,0.281059875867888,0.00144152661345635,0
"PD-PDAM789FJT_18",0.138025712874663,0.257080964672204,0.291701387596732,0.304889024911742,0.008302909944659,0
"PD-PDAM789FJT_24",0.311192342342406,0.110050146828952,0.286558369951666,0.292199140876975,0,0
"PD-PDAN112WYP_0",0.459898208836517,0.164318119754635,0.150395938149407,0.225387733259441,0,0
"PD-PDAN112WYP_6",0.336797647588355,0.272402580984082,0.111290379625275,0.173660663032649,0,0.105848728769641
"PD-PDAN112WYP_12",0.233569649034789,0.256335996631031,0.314410124359998,0.195684229974182,0,0
"PD-PDAN112WYP_18",0.399841352290303,0.208759274207271,0.130519073592809,0.260880299909617,0,0
"PD-PDAN380UXE_0",0.387001326186839,0.177340141041375,0.15188909260999,0.283769440161795,0,0
"PD-PDAN380UXE_18",0.492343066489966,0.147128215856574,0.109253549759613,0.251275167893847,0,0
"PD-PDAN380UXE_24",0.305992975337969,0.306209041465474,0.135695290589902,0.241765594793685,0,0.0103370978129698
"PD-PDAP921TCZ_0",0.156286390475264,0.213451232723026,0.1421424066731,0.331594143979108,0.00788704685767136,0.14863877929183
"PD-PDAP921TCZ_6",0.464644809727101,0.196009564926057,0.0818580207292058,0.257487604617637,0,0
"PD-PDAP921TCZ_12",0.389173401431577,0.316415219015919,0.126245892131717,0.167540921721458,0.000624565699329447,0
"PD-PDAP921TCZ_18",0.398627612432162,0.227301728181015,0.0412892684924659,0.332781390894357,0,0
"PD-PDAP921TCZ_24",0.122383976405676,0.230361662434169,0.0278743024633941,0.60884260573033,0.0105374529664307,0
"PD-PDAR592KD4_0",0.404816818408148,0.208567442119504,0.0545834923720451,0.241112353885406,0,0.0909198932148979
"PD-PDAR592KD4_6",0.305646398271958,0.28351745201422,0.100435860170969,0.310400289542853,0,0
"PD-PDAR592KD4_12",0.362281145672885,0.246848063585482,0.102367526550932,0.268067374844894,0,0.0204358893458073
"PD-PDAR592KD4_18",0.397193472266376,0.177735892175524,0.0388131753147004,0.3862574602434,0,0
"PD-PDAR592KD4_24",0.427453424561407,0.173051644348587,0.157062533903157,0.22992669457801,0,0.0125057026088389
"PD-PDAV666HF1_0",0.0430779470183007,0.211219507905288,0.156862636371385,0.484702496983004,0,0.104137411722022
"PD-PDAV666HF1_6",0.137155612656806,0.232520904503578,0.302819537698991,0.322571702717696,0.00493224242292949,0
"PD-PDAV666HF1_12",0.0925487829122026,0.255018766960279,0,0.494229541289372,0,0.158202908838146
"PD-PDAV666HF1_18",0.320144258210722,0.121453483161751,0.236549265578901,0.321852993048626,0,0
"PD-PDAV666HF1_24",0.519459338873397,0.132833307320589,0.130328357686634,0.21737899611938,0,0
"PD-PDAW438DAN_0",0.578268033053426,0.171766391649085,0,0.249965575297489,0,0
"PD-PDAW438DAN_6",0.360103436103553,0.22362424094051,0.375610907239314,0.0406614157166226,0,0
"PD-PDAW438DAN_12",0.549359010548958,0.182957537651049,0.0907007720531074,0.176982679746887,0,0
"PD-PDAW438DAN_18",0.310626947827858,0.21514378798191,0.100373009716516,0.373856254473716,0,0
"PD-PDAW438DAN_24",0.085591752361736,0.333312464179183,0.0739842015158918,0.459053738296843,0,0.048057843646347
"PD-PDAW779GWK_0",0.436737388949589,0.167098663518836,0,0.332196703489532,0,0.063967244042043
"PD-PDAW779GWK_6",0.306991153376161,0.25920643912666,0.0231830259647094,0.398308183462705,0,0.0123111980697643
"PD-PDAW779GWK_12",0.147386378426585,0.295269788232063,0.0762735550539959,0.300339597311752,0.00328735064521685,0.177443330330388
"PD-PDAW779GWK_18",0.517177247434342,0.11942244485812,0.183930794436656,0.179469513270883,0,0
"PD-PDAW779GWK_24",0.476497252080857,0.162122962600922,0.065469085900632,0.29591069941759,0,0
"PD-PDAX197AYD_0",0.304404048889319,0.21353353016443,0.23854313850301,0.240301904753802,0,0.0032173776894388
"PD-PDAX197AYD_6",0.298980496048783,0.236460899414535,0.237970585114933,0.226588019421749,0,0
"PD-PDAX197AYD_12",0.272422030910203,0.218846891004921,0.108848617765717,0.399882460319159,0,0
"PD-PDAX197AYD_18",0.26066532432178,0.197971015123383,0.188738061490208,0.35262559906463,0,0
"PD-PDAX197AYD_24",0.292158915130305,0.237856796375363,0.140210099112214,0.329774189382118,0,0
"PD-PDAX486GDU_0",0.15920287726104,0.184232021203878,0.179150659073651,0.327232682585074,0,0.150181759876357
"PD-PDAX486GDU_6",0.465026365907865,0.152413265395631,0.0623967064426762,0.320163662253828,0,0
"PD-PDAX486GDU_12",0.137179899247449,0.215595994004297,0.168774973334419,0.303354613864943,0,0.175094519548892
"PD-PDAX486GDU_18",0.349800402208795,0.144123077368252,0.250895698483881,0.249740399538757,0,0.0054404224003143
"PD-PDAX486GDU_24",0.353522089801541,0.191767150999597,0.107594835811712,0.267958679504882,0,0.0791572438822676
"PD-PDAZ501UB5_6",0.304389616747028,0.337203004175602,0.173980794525651,0.151324050857552,0,0.0331025336941668
"PD-PDAZ501UB5_12",0.218481430927647,0.331235285581534,0.222639605136004,0.205725223040202,0,0.0219184553146137
"PD-PDAZ501UB5_18",0.125185698911134,0.236966067364178,0,0.380245964652208,0.00133683487676123,0.256265434195719
"PD-PDBB001EMM_0",0.348418816900011,0.295660383260998,0,0.167833118088609,0,0.188087681750382
"PD-PDBB001EMM_6",0.298784675193443,0.24440582024537,0.00610907915063235,0.252154618311811,0,0.198545807098743
"PD-PDBB001EMM_12",0.385375818099076,0.184469543793933,0.0226180844265676,0.221815261327143,0,0.18572129235328
"PD-PDBB001EMM_18",0.427655388481439,0.153956028134816,0.0740816781735575,0.28134953444991,0,0.0629573707602768
"PD-PDBB001EMM_24",0.417850797177978,0.221136851780748,0.017396334060395,0.240934442644031,0,0.102681574336848
"PD-PDBB602VX6_0",0.394476300089687,0.0260464827389297,0.0238288995478911,0.275447351079016,0,0.280200966544476
"PD-PDBB602VX6_6",0.150494254081322,0.190234352474486,0.067920850948421,0.387107312355904,0.0055794563236653,0.198663773816203
"PD-PDBB602VX6_12",0.319429754649819,0.305125220622277,0.113219394533853,0.0932594298538032,0,0.168966200340248
"PD-PDBB602VX6_18",0.378148226632078,0.242892663879772,0.11363075562547,0.0534679732270558,0,0.211860380635623
"PD-PDBB838XWK_0",0.346324101963808,0.229460145825082,0.0226238428071593,0.401591909403951,0,0
"PD-PDBB838XWK_6",0.27729331151717,0.277608883421406,0.0588460659850684,0.386251739076356,0,0
"PD-PDBB838XWK_12",0.371957287053221,0.203471561330591,0.162614355010083,0.261956796606106,0,0
"PD-PDBC103ZEP_0",0.260156109356489,0.266685059030885,0,0.41295090526918,0,0.0602079263434464
"PD-PDBC103ZEP_6",0.0696623568701819,0.315063739983859,0.302987541532469,0.284499090855591,0.00271955468321947,0.02506771607468
"PD-PDBC103ZEP_12",0.304970723789771,0.256802602216609,0.163502443909824,0.274724230083796,0,0
"PD-PDBC294LL7_0",0.428618794457772,0.134106043211272,0,0.437275162330956,0,0
"PD-PDBC294LL7_6",0.233110864446447,0.254915768999424,0.0578406975267072,0.419962522588144,0,0.0341701464392781
"PD-PDBC294LL7_12",0.443717655468838,0.160241276276295,0,0.396041068254866,0,0
"PD-PDBC294LL7_18",0.414292530230829,0.305673437942549,0.162574359673708,0.117459672152914,0,0
"PD-PDBC294LL7_24",0.362892651244493,0.239787367776088,0,0.397319980979419,0,0
"PD-PDBD199NY6_0",0.414822073807627,0,0.247543866860515,0.3241740727254,0.0134599866064568,0
"PD-PDBD199NY6_12",0.000670404295333483,0.245692706828455,0.000248428032701056,0.535586706335116,0.0349191185740991,0.182882635934296
"PD-PDBD199NY6_24",0,0.236210071220998,0.041786905375231,0.499422266438342,0.0494293181284113,0.173151438837017
"PD-PDBD207ERC_0",0.340903399908771,0.206790565639485,0.0898068760884202,0.361043725254189,0.00145543310913512,0
"PD-PDBD207ERC_6",0.169839276695547,0.264462859183819,0,0.476687379640243,0,0.0890104844803909
"PD-PDBD207ERC_12",0.584370649605748,0.218697262539187,0.0420870079449939,0.112455508877174,0,0.0423895710328962
"PD-PDBD207ERC_24",0.443885194128994,0.285709268073642,0.0775110075501972,0.192894530247167,0,0
"PD-PDBD415NFR_0",0.260029259419389,0.227365502753514,0,0.487285186919017,0,0.0253200509080801
"PD-PDBD415NFR_6",0.445911916091945,0.271706061284253,0.175286629369726,0.107095393254075,0,0
"PD-PDBD415NFR_18",0.330357983777734,0.124183044384167,0.225333769069926,0.320125202768173,0,0
